"","aerobic_ammonia_oxidation","aerobic_nitrite_oxidation","nitrification","sulfate_respiration","sulfur_respiration","thiosulfate_respiration","respiration_of_sulfur_compounds","nitrate_denitrification","nitrite_denitrification","denitrification","dark_hydrogen_oxidation","nitrogen_fixation","nitrate_ammonification","nitrite_ammonification","nitrite_respiration","dark_sulfide_oxidation","dark_thiosulfate_oxidation","dark_oxidation_of_sulfur_compounds","manganese_oxidation","fermentation","aerobic_chemoheterotrophy","human_pathogens_nosocomia","human_pathogens_all","human_gut","human_associated","mammal_gut","animal_parasites_or_symbionts","aromatic_hydrocarbon_degradation","aromatic_compound_degradation","aliphatic_non_methane_hydrocarbon_degradation","hydrocarbon_degradation","nitrate_respiration","nitrate_reduction","nitrogen_respiration","chlorate_reducers","photoheterotrophy","phototrophy","ureolysis","chemoheterotrophy","anaerobic_chemoheterotrophy"
"A1",0.94,0,0.94,1.41,2.35,2.35,3.76,3.76,3.76,3.76,0.47,1.41,2.35,2.35,12.68,0.47,0.94,1.88,1.41,13.15,33.8,0.94,3.29,3.29,4.69,3.29,4.69,2.35,3.76,1.41,2.82,13.62,15.02,13.62,0.47,0,0,1.41,49.77,15.96
"A2",0.91,0,0.91,1.82,2.73,2.73,4.55,4.55,4.55,4.55,0.91,0,1.82,1.82,11.82,0.91,0.91,2.73,0,14.55,34.55,0.91,1.82,5.45,5.45,5.45,6.36,1.82,3.64,0.91,1.82,12.73,16.36,12.73,0.91,0.91,0.91,0,51.82,17.27
"A3",1.83,0,1.83,0.92,2.75,2.75,3.67,3.67,3.67,3.67,0.92,0,1.83,1.83,11.01,0,0.92,1.83,0,12.84,38.53,0.92,1.83,4.59,4.59,4.59,5.5,1.83,3.67,0.92,2.75,11.93,14.68,11.93,0,0,0,0,53.21,14.68
"A4",1.3,0,1.3,1.3,2.6,2.6,3.9,2.6,2.6,2.6,0.65,0,1.3,1.3,7.14,0.65,0.65,1.3,1.3,11.69,34.42,0.65,1.3,2.6,2.6,2.6,3.25,1.3,2.6,0.65,1.95,9.09,11.04,9.09,0.65,0,0,0,49.35,14.94
"AA1",1.35,0,1.35,1.35,2.7,2.7,4.05,1.35,1.35,1.35,1.35,2.7,1.35,1.35,10.81,0,0,0,0,14.86,37.84,0,1.35,4.05,4.05,4.05,4.05,0,1.35,0,1.35,12.16,16.22,12.16,1.35,1.35,1.35,0,55.41,17.57
"AA2",1.35,1.35,2.7,1.35,2.7,2.7,4.05,2.7,2.7,2.7,2.7,2.7,4.05,4.05,13.51,0,1.35,1.35,0,14.86,33.78,1.35,4.05,5.41,5.41,5.41,5.41,1.35,2.7,0,1.35,14.86,17.57,14.86,1.35,1.35,1.35,0,47.3,13.51
"AA3",1.85,0,1.85,1.85,1.85,1.85,3.7,3.7,3.7,3.7,3.7,0,1.85,1.85,11.11,0,1.85,1.85,0,9.26,40.74,1.85,1.85,1.85,1.85,1.85,1.85,0,0,0,1.85,12.96,14.81,12.96,1.85,0,0,0,48.15,7.41
"AA4",0,3.03,3.03,1.52,1.52,1.52,3.03,4.55,4.55,4.55,1.52,0,3.03,3.03,16.67,0,1.52,3.03,0,9.09,42.42,1.52,3.03,3.03,3.03,3.03,3.03,0,0,0,1.52,18.18,18.18,18.18,1.52,0,0,0,54.55,12.12
"B1",1.72,0,1.72,1.72,3.45,3.45,5.17,3.45,3.45,3.45,1.72,0,3.45,3.45,13.79,0,1.72,1.72,0,12.07,39.66,1.72,3.45,3.45,3.45,3.45,3.45,0,0,0,1.72,15.52,17.24,15.52,1.72,0,0,0,53.45,13.79
"B2",1.67,1.67,3.33,1.67,1.67,1.67,3.33,0,0,0,1.67,0,3.33,3.33,10,0,1.67,1.67,0,11.67,38.33,1.67,3.33,3.33,3.33,3.33,3.33,0,0,0,0,10,10,10,0,1.67,1.67,0,48.33,10
"B3",1.52,0,1.52,1.52,4.55,4.55,6.06,3.03,3.03,3.03,1.52,0,1.52,1.52,9.09,0,1.52,1.52,0,15.15,27.27,1.52,1.52,3.03,3.03,3.03,3.03,0,0,0,0,9.09,12.12,9.09,0,1.52,1.52,0,42.42,15.15
"B4",0,2.04,2.04,2.04,4.08,4.08,6.12,2.04,2.04,2.04,2.04,0,2.04,2.04,8.16,0,2.04,2.04,0,10.2,32.65,2.04,2.04,2.04,2.04,2.04,2.04,0,0,0,2.04,8.16,8.16,8.16,0,0,0,0,42.86,10.2
